is_preflop,num_opponents,equity,pot_odds,stack_pot_ratio,bet_raise_available,check_call_available,action
1.0,1.0,0.555,0.0,49.5,1.0,1.0,1.0
1.0,1.0,0.4,0.35714285714285715,21.444444444444443,1.0,1.0,4.0
1.0,1.0,0.525,0.0,13.785714285714286,1.0,1.0,1.0
0.0,1.0,0.36,0.0,13.785714285714286,1.0,1.0,1.0
0.0,1.0,0.7074999999999999,0.0,13.785714285714286,1.0,1.0,1.0
0.0,1.0,0.43000000000000005,0.26666666666666666,8.409090909090908,1.0,1.0,4.0
0.0,1.0,0.8324999999999999,0.0,6.166666666666667,1.0,1.0,1.0
0.0,1.0,0.1925,0.2857142857142857,3.3,1.0,1.0,4.0
0.0,1.0,0.88,0.0,2.357142857142857,1.0,1.0,1.0
1.0,3.0,0.20875000000000002,0.375,26.066666666666666,1.0,1.0,4.0
1.0,4.0,0.363,0.375,26.066666666666666,1.0,1.0,4.0
1.0,4.0,0.306,0.391304347826087,8.880952380952381,1.0,1.0,4.0
1.0,2.0,0.6066666666666667,0.3612750885478158,3.048059149722736,1.0,1.0,4.0
1.0,1.0,0.73,0.0,2.178335535006605,1.0,1.0,1.0
0.0,1.0,0.7625,0.15968351016004315,1.574363364005992,1.0,1.0,4.0
1.0,4.0,0.262,0.375,26.066666666666666,1.0,1.0,4.0
1.0,3.0,0.50375,0.37681159420289856,8.651162790697674,1.0,1.0,4.0
1.0,4.0,0.312,0.375,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.3875,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.4525,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.485,0.20588235294117646,14.222222222222221,1.0,1.0,4.0
0.0,1.0,0.41250000000000003,0.0,11.294117647058824,1.0,1.0,1.0
0.0,1.0,0.32999999999999996,0.0,11.294117647058824,1.0,1.0,1.0
0.0,1.0,0.4875,0.3068181818181818,5.852459016393443,1.0,1.0,4.0
1.0,4.0,0.28300000000000003,0.36363636363636365,28.0,1.0,1.0,4.0
1.0,1.0,0.615,0.0,21.77777777777778,1.0,1.0,1.0
0.0,1.0,0.61,0.0,21.77777777777778,1.0,1.0,1.0
0.0,1.0,0.505,0.0,21.77777777777778,1.0,1.0,1.0
0.0,1.0,0.47750000000000004,0.0,21.77777777777778,1.0,1.0,1.0
